year,week_of_year,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2019,14,0.21001444,-0.314417185,0.707466868,-0.314229845,-0.289352902,0.490557517,-0.566013438,-0.569302092,-0.581124269,-0.381504706,-0.26017058,-0.125363247
2019,15,-0.485215972,-0.348455749,-0.56845063,-0.303436048,-0.335642183,0.219448675,-0.673073012,-0.705507116,-0.703040438,0.811407507,1.066560993,1.094203849
2019,16,0.212665094,-0.29570794,0.693904226,-0.295301592,0.119933364,1.378104775,-0.810437282,-0.843530687,-0.870184277,1.202502112,1.410597913,1.303498476
2019,17,-0.016707298,-0.338458105,0.304211708,-0.312725693,-0.361624864,0.066029723,0.128939781,0.116392295,0.05786056,-0.52191714,-0.395901967,-0.318842034
2019,18,-0.254255431,-0.291963622,-0.189395721,-0.314626942,-0.377856534,-0.242054264,-0.20165781,-0.181105594,-0.134082812,-0.53331374,-0.517712004,-0.495972546
2019,19,-0.126074454,-0.119638233,-0.118841457,-0.312629427,-0.378981343,-0.411097191,0.701854046,0.721643575,0.71152569,-0.65323018,-0.632252871,-0.611400318
2019,20,-0.376165723,-0.348455749,-0.363021439,-0.315782131,-0.379117441,-0.548710731,0.911809557,0.894783887,0.865102719,-0.649582693,-0.629405102,-0.656280867
2019,21,-0.427756105,-0.348455749,-0.460207558,-0.316612423,-0.379117441,-0.60116265,1.089226577,1.132877367,1.14471589,-0.68447027,-0.688038591,-0.717569869
2019,22,-0.465432871,-0.348455749,-0.531183164,-0.312665527,-0.379117441,-0.628278669,1.217881986,1.194633867,1.155692788,-0.515866571,-0.284983263,0.076711977
2019,23,-0.47185053,-0.348455749,-0.54327277,-0.316612423,-0.376507564,-0.652289748,0.798740062,0.783219644,0.75704072,-0.482942646,-0.428384266,-0.309631522
2019,24,-0.483309421,-0.348455749,-0.564859064,-0.316612423,-0.378621084,-0.663285412,0.687972007,0.641632479,0.666519559,-0.391091526,-0.396351702,-0.426994085
2019,25,-0.485215972,-0.348455749,-0.56845063,-0.314350178,-0.379117441,-0.665698844,1.213117871,1.26665096,1.313264257,-0.691395529,-0.705256089,-0.742309694
2019,26,-0.485215972,-0.348455749,-0.56845063,-0.316299559,-0.378244813,-0.665582451,1.057326597,1.028970872,1.033014566,-0.693915387,-0.710909952,-0.74733542
2019,27,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.261727082,1.218853528,1.190854339,-0.69247827,-0.71030465,-0.738868949
